A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_CDS_FSP_UID!FUNC_NO_SWAP_PIN!FUNC_HARD_LOCATION!FUNC_NO_SWAP_GATE_EXT!FUNC_CDS_FSP_MAPPED_CELL!FUNC_CDS_FSP_FPGA_SYMBOL!FUNC_CDS_FSP_TERM_TYPE!FUNC_CDS_FSP_TERM_NAME!FUNC_ROOM!FUNC_GROUP!FUNC_CDS_FSP_TERM_INDEX!FUNC_CDS_FSP_INSTANCE_ID!FUNC_NO_SWAP_GATE!FUNC_NO_XNET_CONNECTION!FUNC_CDS_FSP_IS_FPGA!
J!C:/Users/andre/Desktop/Ese_Group18/Orcad_Workspace/workspace/projects/moisturesensor/allegro/SO1L.brd!Thu Aug 13 17:19:04 2026!0.0000!0.0000!533.4000!431.8000!0.0001!millimeters!SO1L!10.400000 mil!2!UP TO DATE!
S!@so1l.so1l(sch_1):ins83787@\1729128\.\1729128.normal\(sch_1)!1729128_CONN_1729128_PXC_SOLAR PANEL!J3!.\chipsView.dat!!!!!!F32!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins101061@so1l.\1054550101_14.normal\(sch_1)!1054550101_14_CONN_1054550101_MOL_1054550101!J4!.\chipsView.dat!!!!!!F31!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83355@\s2b-ph-k-s-lf-sn\.\s2b-ph-k-slfsn.normal\(sch_1)!S2B-PH-K-SLFSN_CONN_S2B-PH-K-S_JST_BATTERY!J5!.\chipsView.dat!!!!!!F30!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins84244@\1729128\.\1729128.normal\(chips)!1729128_CONN_1729128_PXC_1729128!J6!.\chipsView.dat!!!!!!F29!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins591@\490-5216-6-nd\.\blm18he152sn1d.normal\(sch_1)!BLM18HE152SN1D_IND_BLM18_0603_MUR-M_1.5 UH!L1!.\chipsView.dat!!!!!!F28!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins135424@ifsc1515aher100m01.\ifsc1515aher100m01.normal\(chips)!IFSC1515AHER100M01_INDPM4040X190N_10 UH!L2!.\chipsView.dat!!!!!!F27!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins81643@so1l.\b82422-a1103-j/epc_3.normal\(chips)!B82422-A1103-J/EPC_3_INDC1006X60N_15 NH!L3!.\chipsView.dat!!!!!!F26!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins81832@so1l.\b82422-a1103-j/epc_3.normal\(chips)!B82422-A1103-J/EPC_3_IND_LQG15_MUR-M_2 NH!L4!.\chipsView.dat!!!!!!F25!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83307@project18_pw.\ifsc1515aher100m01_0.normal\(sch_1)!IFSC1515AHER100M01_0_IND_IFSC_1515AH_VIS_10 UH!L5!.\chipsView.dat!!!!!!F24!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins71791@ese_project_lib.\led.normal\(chips)!LED_LEDC1608X45N_GREEN LED!LED1!.\chipsView.dat!!!!!!F23!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins71853@ese_project_lib.\led.normal\(chips)!LED_LEDC1608X45N_RED LED!LED2!.\chipsView.dat!!!!!!F22!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins5653@discrete.\mosfet n.normal\(chips)!MOSFET N_SMSOT23123_MOSFET N!Q1!.\chipsView.dat!!!!!!F21!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins84284@ao3400a.\ao3400a.normal\(chips)!AO3400A_SMSOT23123_AO3400A!Q2!.\chipsView.dat!!!!!!F20!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins77959@analog.\r.normal\(chips)!R_RC0603N_YAG_100 OHM!R1!.\chipsView.dat!!!!!!F19!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83479@project18_pw.\rc0603fr-0720kl_0.normal\(chips)!RC0603FR-0720KL_0_RC0603N_YAG_20 KOHM!R10!.\chipsView.dat!!!!!!F18!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins112682@project18.\rc0603fr-07100rl_1.normal\(chips)!RC0603FR-07100RL_1_RC0603N_YAG_100 OHM!R11!.\chipsView.dat!!!!!!F17!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins84264@so1l.\rc0603fr-071kl_0.normal\(chips)!RC0603FR-071KL_0_RC0603N_YAG_1 KOHM!R12!.\chipsView.dat!!!!!!F16!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins78031@analog.\r.normal\(chips)!R_RC0603N_YAG_1 KOHM!R2!.\chipsView.dat!!!!!!F15!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins79492@analog.\r.normal\(chips)!R_RC0603N_YAG_100 KOHM!R3!.\chipsView.dat!!!!!!F14!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins71807@ese_project_lib.\resistor.normal\(chips)!RESISTOR_RC0603N_YAG_680 OHM!R4!.\chipsView.dat!!!!!!F13!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins71869@ese_project_lib.\resistor.normal\(chips)!RESISTOR_RC0603N_YAG_680 OHM!R5!.\chipsView.dat!!!!!!F12!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins71931@ese_project_lib.\resistor.normal\(chips)!RESISTOR_RC0603N_YAG_270 OHM!R6!.\chipsView.dat!!!!!!F11!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83863@project18_pw.\rc0603fr-075k1l_5.normal\(sch_1)!RC0603FR-075K1L_5_RC0603N_YAG_5.1 KOHM!R7!.\chipsView.dat!!!!!!F10!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83759@project18_pw.\rc0603fr-075k1l_5.normal\(sch_1)!RC0603FR-075K1L_5_RC0603N_YAG_5.1 KOHM!R8!.\chipsView.dat!!!!!!F9!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83327@project18_pw.\rc0603fr-072kl_0.normal\(chips)!RC0603FR-072KL_0_RC0603N_YAG_2 KOHM!R9!.\chipsView.dat!!!!!!F8!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins83691@project18_pw.\ntcle350e4103fhb0_0.normal\(chips)!NTCLE350E4103FHB0_0_NTCLE350E4103FHB0_10 KOHM!RT1!.\chipsView.dat!!!!!!F7!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins131369@\1825910-6\.\1825910-6.normal\(chips)!1825910-6_18259106_1825910-6!S1!.\chipsView.dat!!!!!!F6!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins84320@so1l.\dk1a-3v-f_0.normal\(sch_1)!DK1A-3V-F_0_AW3212F_RELAY!U3!.\chipsView.dat!!!!!!F2!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins74201@ese_project_lib.\txs-3225.normal\(chips)!TXS-3225_CX3225FB48000F0FZZH1_24 MHZ!Y1!.\chipsView.dat!!!!!!F1!!!!!!!!!!!!!!!!!!
S!@so1l.so1l(sch_1):ins74486@so1l.\fc-135r_0.normal\(chips)!FC-135R_0_XTAL_KA-A3_EPS-M_32.768KHZ!Y2!.\chipsView.dat!!!!!!F0!!!!!!!!!!!!!!!!!!
