Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,,R7,5.1 kOhm,,YAGEO Corp.,RC0603FR-075K1L,RC0603FR-075K1L-2121403022,RC0603FR-075K1L,YAGEO Corp.,10,6,,,Active,$0.00511-$0.02078
1,,R8,5.1 kOhm,,YAGEO Corp.,RC0603FR-075K1L,RC0603FR-075K1L-2121403022,RC0603FR-075K1L,YAGEO Corp.,10,6,,,Active,$0.00511-$0.02078
1,,R9,2 kOhm,Thick Film Resistors - SMD 2 kOhms 100mW 0603 1%,YAGEO Corp.,RC0603FR-072KL,RC0603FR-072KL-1918764037,RC0603FR-072KL,YAGEO Corp.,10,10,,,Active,$0.00779-$0.00887
1,,R10,20 kOhm,"RC0603 SMD resistor,47K5 1% 0.1W (Reel) Yageo RC Series Thick Film Surface Mount Resistor 603 Case 20k +/-1% 0.1W +/-100ppm/C",YAGEO Corp.,RC0603FR-0720KL,RC0603FR-0720KL-1918764019,RC0603FR-0720KL,YAGEO Corp.,10,10,,,Active,$0.01126-$0.01888
1,,R11,100 Ohm,Yageo RC Series Thick Film Surface Mount Resistor 0603 Case 100,YAGEO Corp.,RC0603FR-07100RL,RC0603FR-07100RL-2121402425,RC0603FR-07100RL,YAGEO Corp.,10,10,,,Active,$0.00719-$0.01047
1,,R12,1 kOhm,Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) +/-100ppm/C Epoxy Pad SMD T/R,YAGEO Corp.,RC0603FR-071KL,RC0603FR-071KL-1918764013,RC0603FR-071KL,YAGEO Corp.,10,10,,,Active,$0.00125-$0.04591
1,,RT1,10 kOhm,"NTC Thermistors, Insulated Leads for 185 C Applications","Vishay Intertechnology, Inc.",NTCLE350E4103FHB0,NTCLE350E4103FHB0-145239971532,NTCLE350E4103FHB0,"Vishay Intertechnology, Inc.",7,5,,,Active,$0.73097-$0.81344
1,1825910-6,S1,1825910-6,Body Features: Product Orientation Vertical | Case Material Nylon | Actuator Force 5.64 OZ | Cover Material PET Film | Actuator Force 160 G | Actuator Color Black | Actuator Material PBT | Actuator Profile Extended | Case Color Black | Configuration Features: Operating Function NO | Ganged With | Support Bracket Without | Switch Feedback Type Tactile | Configuration (Pole-Throw) Single Pole - Single Throw | Number of Actuators Single | ESD Grounding Terminal Without | Contact Features: Contact Base Material,TE Connectivity,1825910-6,1825910-6-1894902532,1825910-6,TE Connectivity,10,10,,,Active,$0.05052-$0.07109
1,CC2640R2FRHBR,U1,CC2640R2FRHB,SimpleLink 32bit Arm Cortex-M3 Bluetooth Low Energy 5.1 wireless MCU with 128kB flash 32-VQFN -40 to 85,Texas Instruments,CC2640R2FRHBR,CC2640R2FRHBR-8211461479,CC2640R2FRHBR,Texas Instruments Incorporated,10,7,,,Active,$2.18124-$2.22068
1,,U2,Battery Charger,,Microchip Tech,MCP73871-2CCI/ML,,,,,,,,,
1,,U3,RELAY,,Panasonic Corporation,DK1A-3V-F,DK1A-3V-F-1726368762,DK1A-3V-F,Panasonic Corporation,10,10,,,Active,$4.78589-$5.40083
1,,Y1,24 MHZ,,"CITIZEN FINEDEVICE CO.,LTD.",CS325S24000000ABJT,CS325S24000000ABJT-8259018897,CS325S24000000ABJT,"CITIZEN FINEDEVICE CO.,LTD.",6,7,,,Active,$0.51175-$0.63486
1,,Y2,32.768kHz,,Epson,FC-135R32.7680KA-AX,FC-135R327680KA-AX-8362991461,FC-135R32.7680KA-AX,Epson,5,0,,,Active,
